db,model,auc
ecoli-0-2-3-4_vs_5,GMM,0.44594594594594594
ecoli-0-2-3-4_vs_5,ISOF,0.10810810810810811
ecoli-0-2-3-4_vs_5,OCSVM,0.24324324324324326
ecoli-0-2-3-4_vs_5,manhattanBRM,0.14864864864864866
ecoli-0-2-3-4_vs_5,cosineBRM,0.2162162162162162
ecoli-0-2-3-4_vs_5,chebyshevBRM,0.16216216216216214
ecoli-0-1_vs_5,BRM,0.28977272727272724
ecoli-0-1_vs_5,GMM,0.5
ecoli-0-1_vs_5,ISOF,0.32954545454545453
ecoli-0-1_vs_5,OCSVM,0.375
ecoli-0-1_vs_5,manhattanBRM,0.23863636363636365
ecoli-0-1_vs_5,cosineBRM,0.33522727272727276
ecoli-0-1_vs_5,chebyshevBRM,0.28977272727272724
ecoli-0-1_vs_2-3-5,BRM,0.21363636363636368
ecoli-0-1_vs_2-3-5,GMM,0.5
ecoli-0-1_vs_2-3-5,ISOF,0.17954545454545454
ecoli-0-1_vs_2-3-5,OCSVM,0.26136363636363635
ecoli-0-1_vs_2-3-5,manhattanBRM,0.17272727272727273
ecoli-0-1_vs_2-3-5,cosineBRM,0.30000000000000004
ecoli-0-1_vs_2-3-5,chebyshevBRM,0.2272727272727273
ecoli-0-1-4-7_vs_5-6,BRM,0.30645161290322587
ecoli-0-1-4-7_vs_5-6,GMM,0.4080645161290323
ecoli-0-1-4-7_vs_5-6,ISOF,0.39677419354838717
ecoli-0-1-4-7_vs_5-6,OCSVM,0.4419354838709677
ecoli-0-1-4-7_vs_5-6,manhattanBRM,0.26774193548387093
ecoli-0-1-4-7_vs_5-6,cosineBRM,0.3774193548387097
ecoli-0-1-4-7_vs_5-6,chebyshevBRM,0.30000000000000004
ecoli-0-1-4-7_vs_2-3-5-6,BRM,0.28494623655913975
ecoli-0-1-4-7_vs_2-3-5-6,GMM,0.20161290322580644
ecoli-0-1-4-7_vs_2-3-5-6,ISOF,0.3709677419354839
ecoli-0-1-4-7_vs_2-3-5-6,OCSVM,0.4569892473118279
ecoli-0-1-4-7_vs_2-3-5-6,manhattanBRM,0.25
ecoli-0-1-4-7_vs_2-3-5-6,cosineBRM,0.3118279569892473
ecoli-0-1-4-7_vs_2-3-5-6,chebyshevBRM,0.30376344086021506
ecoli-0-1-4-6_vs_5,BRM,0.1923076923076923
ecoli-0-1-4-6_vs_5,GMM,0.49038461538461536
ecoli-0-1-4-6_vs_5,ISOF,0.20192307692307693
ecoli-0-1-4-6_vs_5,OCSVM,0.22115384615384615
ecoli-0-1-4-6_vs_5,manhattanBRM,0.18750000000000003
ecoli-0-1-4-6_vs_5,cosineBRM,0.33653846153846156
ecoli-0-1-4-6_vs_5,chebyshevBRM,0.21634615384615383
ecoli-0-1-3-7_vs_2-6,BRM,0.18181818181818182
ecoli-0-1-3-7_vs_2-6,GMM,0.9909090909090909
ecoli-0-1-3-7_vs_2-6,ISOF,0.08181818181818185
ecoli-0-1-3-7_vs_2-6,OCSVM,0.2272727272727273
ecoli-0-1-3-7_vs_2-6,manhattanBRM,0.1454545454545455
ecoli-0-1-3-7_vs_2-6,cosineBRM,0.036363636363636376
ecoli-0-1-3-7_vs_2-6,chebyshevBRM,0.09090909090909094
dermatology-6,BRM,0.3014705882352941
dermatology-6,GMM,0.8014705882352942
dermatology-6,ISOF,0.22058823529411764
dermatology-6,OCSVM,0.21323529411764708
dermatology-6,manhattanBRM,0.2573529411764706
dermatology-6,cosineBRM,0.20220588235294118
dermatology-6,chebyshevBRM,0.22426470588235292
cleveland-0_vs_4,BRM,0.041666666666666664
cleveland-0_vs_4,GMM,0.7552083333333333
cleveland-0_vs_4,ISOF,0.15625
cleveland-0_vs_4,OCSVM,0.44791666666666663
cleveland-0_vs_4,manhattanBRM,0.0
cleveland-0_vs_4,cosineBRM,0.10416666666666666
cleveland-0_vs_4,chebyshevBRM,0.09375
car-vgood,BRM,0.5
car-vgood,GMM,0.3483483483483484
car-vgood,ISOF,0.5
car-vgood,OCSVM,0.5174405174405174
car-vgood,manhattanBRM,0.5015015015015015
car-vgood,cosineBRM,0.5
car-vgood,chebyshevBRM,0.5
car-good,BRM,0.5
car-good,GMM,0.5331325301204819
car-good,ISOF,0.5
car-good,OCSVM,0.5413080895008605
car-good,manhattanBRM,0.5015060240963856
car-good,cosineBRM,0.5060240963855421
car-good,chebyshevBRM,0.5
abalone9-18,BRM,0.11916264090177132
abalone9-18,GMM,0.4842995169082126
abalone9-18,ISOF,0.21256038647342995
abalone9-18,OCSVM,0.3683574879227054
abalone9-18,manhattanBRM,0.13768115942028986
abalone9-18,cosineBRM,0.1360708534621578
abalone9-18,chebyshevBRM,0.10869565217391305
abalone19,BRM,0.34961801367108963
abalone19,GMM,0.6562123039806996
abalone19,ISOF,0.6103739445114595
abalone19,OCSVM,0.7503015681544029
abalone19,manhattanBRM,0.3894250100522718
abalone19,cosineBRM,0.3365500603136309
abalone19,chebyshevBRM,0.3747486932046642
abalone-3_vs_11,BRM,0.6768707482993197
abalone-3_vs_11,GMM,0.5578231292517006
abalone-3_vs_11,ISOF,0.10204081632653061
abalone-3_vs_11,OCSVM,0.27040816326530615
abalone-3_vs_11,manhattanBRM,0.7074829931972789
abalone-3_vs_11,cosineBRM,0.10204081632653061
abalone-3_vs_11,chebyshevBRM,0.5986394557823129
abalone-21_vs_8,BRM,0.005847953216374287
abalone-21_vs_8,GMM,0.3026315789473684
abalone-21_vs_8,ISOF,0.08771929824561403
abalone-21_vs_8,OCSVM,0.2368421052631579
abalone-21_vs_8,manhattanBRM,0.00877192982456143
abalone-21_vs_8,cosineBRM,0.02339181286549711
abalone-21_vs_8,chebyshevBRM,0.011695906432748537
abalone-20_vs_8-9-10,BRM,0.1521164021164021
abalone-20_vs_8-9-10,GMM,0.5727513227513228
abalone-20_vs_8-9-10,ISOF,0.5304232804232805
abalone-20_vs_8-9-10,OCSVM,0.492063492063492
abalone-20_vs_8-9-10,manhattanBRM,0.14462081128747795
abalone-20_vs_8-9-10,cosineBRM,0.19268077601410935
abalone-20_vs_8-9-10,chebyshevBRM,0.167989417989418
abalone-19_vs_10-11-12-13,BRM,0.4025157232704402
abalone-19_vs_10-11-12-13,GMM,0.33715184186882297
abalone-19_vs_10-11-12-13,ISOF,0.47978436657681944
abalone-19_vs_10-11-12-13,OCSVM,0.394429469901168
abalone-19_vs_10-11-12-13,manhattanBRM,0.4339622641509434
abalone-19_vs_10-11-12-13,cosineBRM,0.4020664869721473
abalone-19_vs_10-11-12-13,chebyshevBRM,0.39982030548068287
abalone-17_vs_7-8-9-10,BRM,0.1653874269005848
abalone-17_vs_7-8-9-10,GMM,0.5888157894736843
abalone-17_vs_7-8-9-10,ISOF,0.4331140350877193
abalone-17_vs_7-8-9-10,OCSVM,0.48684210526315785
abalone-17_vs_7-8-9-10,manhattanBRM,0.16246345029239767
abalone-17_vs_7-8-9-10,cosineBRM,0.1522295321637427
abalone-17_vs_7-8-9-10,chebyshevBRM,0.18658625730994155
poker-8_vs_6,BRM,0.16695205479452058
poker-8_vs_6,GMM,0.2928082191780822
poker-8_vs_6,ISOF,0.6044520547945206
poker-8_vs_6,OCSVM,0.654109589041096
poker-8_vs_6,manhattanBRM,0.1738013698630137
poker-8_vs_6,cosineBRM,0.5308219178082192
poker-8_vs_6,chebyshevBRM,0.13313356164383566
pimaImb,BRM,0.2790740740740741
pimaImb,GMM,0.4935185185185186
pimaImb,ISOF,0.44814814814814813
pimaImb,OCSVM,0.30240740740740746
pimaImb,manhattanBRM,0.30092592592592593
pimaImb,cosineBRM,0.5105555555555555
pimaImb,chebyshevBRM,0.2798148148148148
new-thyroid1,BRM,0.23412698412698413
new-thyroid1,GMM,0.3611111111111111
new-thyroid1,ISOF,0.48214285714285715
new-thyroid1,OCSVM,0.25
new-thyroid1,manhattanBRM,0.2698412698412699
new-thyroid1,cosineBRM,0.2579365079365079
new-thyroid1,chebyshevBRM,0.20238095238095236
lymphography-normal-fibrosis,BRM,0.0
lymphography-normal-fibrosis,GMM,0.4642857142857143
lymphography-normal-fibrosis,ISOF,0.25
lymphography-normal-fibrosis,OCSVM,0.3035714285714286
lymphography-normal-fibrosis,manhattanBRM,0.0
lymphography-normal-fibrosis,cosineBRM,0.0
lymphography-normal-fibrosis,chebyshevBRM,0.5
poker-8-9_vs_5,BRM,0.3097560975609756
poker-8-9_vs_5,GMM,0.45487804878048776
poker-8-9_vs_5,ISOF,0.48902439024390243
poker-8-9_vs_5,OCSVM,0.5475609756097561
poker-8-9_vs_5,manhattanBRM,0.27975609756097564
poker-8-9_vs_5,cosineBRM,0.46097560975609764
poker-8-9_vs_5,chebyshevBRM,0.3385365853658536
poker-8-9_vs_6,BRM,0.31506849315068497
poker-8-9_vs_6,GMM,0.5106164383561644
poker-8-9_vs_6,ISOF,0.5811643835616438
